"","language","estimate","p_value","cpu"
"1","C",0.939112367807312,2.98871673551926e-26,"i78700"
"2","CSharp",0.749765539067991,4.28349743184224e-17,"i78700"
"3","Erlang",0.758856981167892,1.07752991702901e-17,"i78700"
"4","FSharp",0.699720158855326,3.33698988624198e-14,"i78700"
"5","Fortran",0.964943051505658,6.79417941259424e-39,"i78700"
"6","Go",0.925064231584639,6.44476603288688e-38,"i78700"
"7","JRuby",0.998608574689136,1.08165331399057e-111,"i78700"
"8","Java",0.732287702021919,3.79613428583206e-14,"i78700"
"9","JavaScript",0.876956108157874,4.16955948171128e-29,"i78700"
"10","Lisp",0.933294479203717,4.30877734707914e-35,"i78700"
"11","Lua",0.995007333000878,7.2688820945818e-88,"i78700"
"12","PHP",0.724142142995335,1.55363070713246e-15,"i78700"
"13","Perl",0.770788928984308,1.60134727533904e-18,"i78700"
"14","Python",0.764586994006818,4.37444204840667e-18,"i78700"
"15","Racket",0.709703413389185,9.89488786374888e-15,"i78700"
"16","Rust",0.912213966941054,1.71601199263857e-26,"i78700"
"17","TypeScript",0.984640673733011,5.6796278298227e-67,"i78700"
"18","C",0.99846532553217,2.73078729203896e-68,"n150"
"19","CSharp",0.975952106071127,1.11802843440546e-58,"n150"
"20","Erlang",0.982986741839085,4.45987398527127e-65,"n150"
"21","FSharp",0.991506697574887,5.65141666756849e-78,"n150"
"22","Fortran",0.997182424294478,1.01795452561105e-73,"n150"
"23","Go",0.996191825019028,6.5248696829175e-93,"n150"
"24","JRuby",0.99981767527499,1.23723577686531e-149,"n150"
"25","Java",0.994042615289215,5.89002468857874e-74,"n150"
"26","JavaScript",0.990230624521883,2.2631487160505e-75,"n150"
"27","Lisp",0.99177217268711,1.02597565304052e-68,"n150"
"28","Lua",0.999484152288376,3.24746725183832e-130,"n150"
"29","PHP",0.977793260222177,3.78076642586416e-60,"n150"
"30","Perl",0.980312799117054,2.24557573481353e-62,"n150"
"31","Python",0.974180376049556,2.29089026881906e-57,"n150"
"32","Racket",0.981210185753953,3.07720467202216e-63,"n150"
"33","Rust",0.985016251209001,1.41845118314133e-50,"n150"
"34","TypeScript",0.998418902955616,2.62323588804108e-109,"n150"
"35","C",0.992945023791537,9.17221154171533e-51,"epyc1"
"36","CSharp",0.998081544684791,1.06545206609119e-105,"epyc1"
"37","Erlang",0.996710226375476,1.22042831027661e-95,"epyc1"
"38","FSharp",0.99608084904812,2.23877275466506e-92,"epyc1"
"39","Fortran",0.999849956582542,1.85385772203549e-114,"epyc1"
"40","Go",0.983837857661422,4.99529177668384e-66,"epyc1"
"41","JRuby",0.84352140648509,6.16293372135346e-25,"epyc1"
"42","Java",0.884396650088064,1.56714886676935e-26,"epyc1"
"43","JavaScript",0.99599335196095,5.77516488681059e-92,"epyc1"
"44","Lisp",0.996616233007341,3.78407547895413e-83,"epyc1"
"45","Lua",0.871343556804011,2.51099216803536e-28,"epyc1"
"46","PHP",0.997820686007869,2.54703991624961e-103,"epyc1"
"47","Perl",0.994109738589073,8.72833156608291e-85,"epyc1"
"48","Python",0.998153100737247,2.08117029636989e-106,"epyc1"
"49","Racket",0.998489882818118,3.64511891259334e-110,"epyc1"
"50","Rust",0.967243459657518,8.01977436070063e-40,"epyc1"
"51","TypeScript",0.998560232149292,4.69307551084848e-111,"epyc1"
"52","C",0.994723097019175,4.26484510172469e-54,"epyc2"
"53","CSharp",0.997095829450404,5.77785490135523e-98,"epyc2"
"54","Erlang",0.997333198241586,1.4843474731176e-99,"epyc2"
"55","FSharp",0.996540781045641,1.05418588653751e-94,"epyc2"
"56","Fortran",0.999781745714995,2.9888059895554e-109,"epyc2"
"57","Go",0.983801743004942,5.49438198151818e-66,"epyc2"
"58","JRuby",0.666817808290212,1.3181456377944e-12,"epyc2"
"59","Java",0.8956424999967,4.16822089234938e-28,"epyc2"
"60","JavaScript",0.997185569475278,1.50109933124941e-98,"epyc2"
"61","Lisp",0.996819725717441,3.71054748713384e-84,"epyc2"
"62","Lua",0.85937521163502,8.85031163770703e-27,"epyc2"
"63","PHP",0.997598804690545,1.63940470254755e-101,"epyc2"
"64","Perl",0.994552220941569,3.06575309364252e-86,"epyc2"
"65","Python",0.9981419078873,2.6979950010464e-106,"epyc2"
"66","Racket",0.998721042072801,2.89157572911286e-113,"epyc2"
"67","Rust",0.963526728616471,2.36130927228049e-38,"epyc2"
"68","TypeScript",0.999299422939184,1.68297330726121e-124,"epyc2"
"69","C",0.988223119704998,6.82868580580187e-45,"m1max"
"70","CSharp",0.599069253509671,7.01147216061362e-10,"m1max"
"71","Erlang",0.457520912650974,7.41172640050119e-06,"m1max"
"72","FSharp",0.316990756688498,0.00261997943281772,"m1max"
"73","Fortran",0.848233896131765,2.51144247536975e-19,"m1max"
"74","Go",0.894009373512745,9.88069110359579e-32,"m1max"
"75","JRuby",0.886347901661672,1.68288808136577e-30,"m1max"
"76","Java",0.707804094227255,6.1207376352062e-13,"m1max"
"77","JavaScript",0.796633055992269,1.68725915539837e-20,"m1max"
"78","Lisp",0.939098002898981,2.16255555250036e-31,"m1max"
"79","Lua",0.989395125009824,7.58047178876094e-74,"m1max"
"80","PHP",0.955693111193295,1.89163471964604e-47,"m1max"
"81","Perl",0.565662384707748,9.32261082551046e-09,"m1max"
"82","Python",0.459837481553227,6.57149931350789e-06,"m1max"
"83","Racket",0.666470288155864,1.36695161941137e-12,"m1max"
"84","Rust",0.883450510183598,9.46250818836597e-23,"m1max"
"85","TypeScript",0.978363186251694,1.25077439564435e-60,"m1max"
"86","C",0.990760712731022,1.13517199663306e-47,"m2pro"
"87","CSharp",0.686486251976206,1.55137139812144e-13,"m2pro"
"88","Erlang",0.574006126216845,5.01880639386374e-09,"m2pro"
"89","FSharp",0.495756273726868,9.0507710663138e-07,"m2pro"
"90","Fortran",0.878599359671978,3.23001101306384e-22,"m2pro"
"91","Go",0.925687324301868,4.56075231188113e-38,"m2pro"
"92","JRuby",0.86348008506868,2.70957166125275e-27,"m2pro"
"93","Java",0.797749538870862,3.81180261274332e-18,"m2pro"
"94","JavaScript",0.773008534485783,1.10906039361129e-18,"m2pro"
"95","Lisp",0.93727114748733,5.41291040630904e-31,"m2pro"
"96","Lua",0.991143569109448,3.39421811141453e-77,"m2pro"
"97","PHP",0.957777785755647,2.48776457354572e-48,"m2pro"
"98","Perl",0.656608540451324,3.76041712992624e-12,"m2pro"
"99","Python",0.599692082022978,6.66228843400012e-10,"m2pro"
"100","Racket",0.751191705905601,3.46323997187472e-17,"m2pro"
"101","Rust",0.90206544485179,4.84827036195331e-25,"m2pro"
"102","TypeScript",0.962071960186812,2.70311225086858e-50,"m2pro"
"103","C",0.871789281211869,4.67397576736833e-18,"m3max"
"104","CSharp",0.459324640436446,6.74940468010685e-06,"m3max"
"105","Erlang",0.283050412623905,0.00753636541295463,"m3max"
"106","FSharp",0.226647546567634,0.0337154015851231,"m3max"
"107","Fortran",0.753881173912855,2.75185063546205e-13,"m3max"
"108","Go",0.818994755939788,1.86736325248431e-22,"m3max"
"109","JRuby",0.709201477698773,1.0531326638159e-14,"m3max"
"110","Java",0.53535214589044,5.26251013551912e-07,"m3max"
"111","JavaScript",0.735634761589704,3.26716607080449e-16,"m3max"
"112","Lisp",0.951093345515674,2.3276150943021e-34,"m3max"
"113","Lua",0.985497940952967,4.89201970861088e-68,"m3max"
"114","PHP",0.950065185320261,2.87478063607491e-45,"m3max"
"115","Perl",0.458227457429408,7.14532772051545e-06,"m3max"
"116","Python",0.354103970741805,0.000712651505261212,"m3max"
"117","Racket",0.49975946597845,7.15373946557382e-07,"m3max"
"118","Rust",0.754477760975656,2.57215506223142e-13,"m3max"
"119","TypeScript",0.968767269841902,7.33621990778088e-54,"m3max"
